"playerID","yearID","Batting_Games","Batting_At_Bats","Batting_Doubles","Batting_Triples","Batting_Homeruns","Batting_Runs_Batted_In","Batting_Stolen_Bases","Batting_Caught_Steading","Batting_Base_on_Balls","Batting_Strikeouts","Batting_Intentional_walks","Batting_Hit_by_pitch","Batting_Sacrifice_hits","Batting_Sacrifice_flies","Batting_Grounded_into_double_plays","Pitching_Wins","Pitching_Losses","Pitching_Games","Pitching_Games_Started","Pitching_Complete_Games","Pitching_Shutouts","Pitching_Saves","Pitching_Outs_Pitched","Pitching_Hits","inducted"
"minosmi01",1999,1835,6579,336,83,186,1023,205,130,814,584,23,192,68,57,185,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"mitchke01",2004,1223,4134,224,25,234,760,30,31,491,719,87,27,2,42,89,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"mizejo01",1960,1884,6443,367,83,359,1337,28,1,856,524,0,52,20,0,99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"mizejo01",1962,1884,6443,367,83,359,1337,28,1,856,524,0,52,20,0,99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"mizejo01",1964,1884,6443,367,83,359,1337,28,1,856,524,0,52,20,0,99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"mizejo01",1964,1884,6443,367,83,359,1337,28,1,856,524,0,52,20,0,99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"mizejo01",1966,1884,6443,367,83,359,1337,28,1,856,524,0,52,20,0,99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"mizejo01",1967,1884,6443,367,83,359,1337,28,1,856,524,0,52,20,0,99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"mizejo01",1967,1884,6443,367,83,359,1337,28,1,856,524,0,52,20,0,99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"mizejo01",1968,1884,6443,367,83,359,1337,28,1,856,524,0,52,20,0,99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"mizejo01",1969,1884,6443,367,83,359,1337,28,1,856,524,0,52,20,0,99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"mizejo01",1970,1884,6443,367,83,359,1337,28,1,856,524,0,52,20,0,99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"mizejo01",1971,1884,6443,367,83,359,1337,28,1,856,524,0,52,20,0,99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"mizejo01",1972,1884,6443,367,83,359,1337,28,1,856,524,0,52,20,0,99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"mizejo01",1973,1884,6443,367,83,359,1337,28,1,856,524,0,52,20,0,99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"mizejo01",1981,1884,6443,367,83,359,1337,28,1,856,524,0,52,20,0,99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Y"
"molitpa01",2004,2683,10835,605,114,234,1307,504,131,1094,1244,100,47,75,109,209,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Y"
"mondari01",1990,1986,6136,248,64,241,775,98,91,924,1513,107,24,46,32,71,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"mondera01",2011,1525,5814,319,49,271,860,229,92,475,1130,50,41,2,37,93,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"moneydo01",1989,1720,6215,302,36,176,729,80,51,600,866,45,40,90,53,121,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"montawi01",1988,1632,5843,279,25,139,802,32,42,465,751,103,24,10,65,162,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"montgje01",2005,700,2,0,0,0,0,0,0,0,1,0,0,0,0,0,46,52,700,1,0,0,304,2606,785,"N"
"moonwa01",1971,1457,4843,212,60,142,661,89,68,644,591,56,13,31,35,121,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"moorejo02",1950,1335,5427,258,53,79,513,46,0,348,247,0,37,36,0,48,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"moorete01",1950,1298,4700,263,28,80,513,82,0,406,368,0,16,82,0,76,0,0,1,0,0,0,0,3,0,"N"
"moorete01",1953,1298,4700,263,28,80,513,82,0,406,368,0,16,82,0,76,0,0,1,0,0,0,0,3,0,"N"
"moorete01",1958,1298,4700,263,28,80,513,82,0,406,368,0,16,82,0,76,0,0,1,0,0,0,0,3,0,"N"
"moorete01",1960,1298,4700,263,28,80,513,82,0,406,368,0,16,82,0,76,0,0,1,0,0,0,0,3,0,"N"
"moorete01",1962,1298,4700,263,28,80,513,82,0,406,368,0,16,82,0,76,0,0,1,0,0,0,0,3,0,"N"
"moorete01",1964,1298,4700,263,28,80,513,82,0,406,368,0,16,82,0,76,0,0,1,0,0,0,0,3,0,"N"
"moorete01",1967,1298,4700,263,28,80,513,82,0,406,368,0,16,82,0,76,0,0,1,0,0,0,0,3,0,"N"
"moorete01",1968,1298,4700,263,28,80,513,82,0,406,368,0,16,82,0,76,0,0,1,0,0,0,0,3,0,"N"
"moraljo01",1990,733,1305,68,6,26,207,0,4,89,182,28,6,13,15,57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"morame01",2017,1556,5422,283,19,171,754,93,55,520,953,18,117,50,49,112,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"moranpa01",1937,818,2634,102,24,18,262,55,0,142,36,0,37,51,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"moranpa01",1938,818,2634,102,24,18,262,55,0,142,36,0,37,51,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"moranpa01",1939,818,2634,102,24,18,262,55,0,142,36,0,37,51,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"moranpa01",1945,818,2634,102,24,18,262,55,0,142,36,0,37,51,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"morgajo02",1990,2649,9277,449,96,268,1133,689,162,1865,1015,76,40,51,96,105,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Y"
"morriha02",2006,1246,3998,246,21,76,513,45,24,356,548,55,22,28,39,105,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"morrija02",2000,568,1,0,0,0,0,0,0,0,0,0,0,0,0,0,254,186,549,527,175,28,0,11472,3567,"N"
"morrija02",2001,568,1,0,0,0,0,0,0,0,0,0,0,0,0,0,254,186,549,527,175,28,0,11472,3567,"N"
"morrija02",2002,568,1,0,0,0,0,0,0,0,0,0,0,0,0,0,254,186,549,527,175,28,0,11472,3567,"N"
"morrija02",2003,568,1,0,0,0,0,0,0,0,0,0,0,0,0,0,254,186,549,527,175,28,0,11472,3567,"N"
"morrija02",2004,568,1,0,0,0,0,0,0,0,0,0,0,0,0,0,254,186,549,527,175,28,0,11472,3567,"N"
"morrija02",2005,568,1,0,0,0,0,0,0,0,0,0,0,0,0,0,254,186,549,527,175,28,0,11472,3567,"N"
"morrija02",2006,568,1,0,0,0,0,0,0,0,0,0,0,0,0,0,254,186,549,527,175,28,0,11472,3567,"N"
"morrija02",2007,568,1,0,0,0,0,0,0,0,0,0,0,0,0,0,254,186,549,527,175,28,0,11472,3567,"N"
"morrija02",2008,568,1,0,0,0,0,0,0,0,0,0,0,0,0,0,254,186,549,527,175,28,0,11472,3567,"N"
"morrija02",2009,568,1,0,0,0,0,0,0,0,0,0,0,0,0,0,254,186,549,527,175,28,0,11472,3567,"N"
"morrija02",2010,568,1,0,0,0,0,0,0,0,0,0,0,0,0,0,254,186,549,527,175,28,0,11472,3567,"N"
"morrija02",2011,568,1,0,0,0,0,0,0,0,0,0,0,0,0,0,254,186,549,527,175,28,0,11472,3567,"N"
"morrija02",2012,568,1,0,0,0,0,0,0,0,0,0,0,0,0,0,254,186,549,527,175,28,0,11472,3567,"N"
"morrija02",2013,568,1,0,0,0,0,0,0,0,0,0,0,0,0,0,254,186,549,527,175,28,0,11472,3567,"N"
"morrija02",2014,568,1,0,0,0,0,0,0,0,0,0,0,0,0,0,254,186,549,527,175,28,0,11472,3567,"N"
"moseswa01",1958,2012,7356,435,110,89,679,174,81,821,457,0,21,55,0,58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"moseswa01",1960,2012,7356,435,110,89,679,174,81,821,457,0,21,55,0,58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"moseswa01",1968,2012,7356,435,110,89,679,174,81,821,457,0,21,55,0,58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"moseswa01",1969,2012,7356,435,110,89,679,174,81,821,457,0,21,55,0,58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"moseswa01",1970,2012,7356,435,110,89,679,174,81,821,457,0,21,55,0,58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"moseswa01",1971,2012,7356,435,110,89,679,174,81,821,457,0,21,55,0,58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"mostijo01",1956,972,3507,209,82,23,376,176,105,415,336,0,70,104,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"mostijo01",1958,972,3507,209,82,23,376,176,105,415,336,0,70,104,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"motama01",1988,1536,3779,125,52,31,438,50,42,289,320,43,28,95,36,99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"motama01",1989,1536,3779,125,52,31,438,50,42,289,320,43,28,95,36,99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
